filename;reference_author;reference_year;reference_title
LOWINC~1.PDF; u.s. department of agriculture.;2013; about wic’s mission (2013)
LOWINC~1.PDF; volkmar, f.r., paul, r., klin, a., cohen, d.j.;2005;" handbook of autism and pervasive
developmental disorders, diagnosis, development, neurobiology, and behavior"
LOWINC~1.PDF; warren, z., stone, w.l.;2011;" why is early intervention important in asc? autism spectrum
conditions: faqs on autism, asperger syndrome, and atypical autism answered by
international experts, p.167 "
TRANSP~1.PDF; grace, k., salvatier, j., dafoe, a., zhang, b., evans, o.;2018;" viewpoint: when will ai exceed
human performance? evidence from ai experts"
TRANSP~1.PDF; maedche, a., et al.;2019; ai-based digital assistants
TRANSP~1.PDF; ciresan, d., meier, u., masci, j., schmidhuber, j.;2012;" multi-column deep neural network for
trafﬁc sign classiﬁcation"
TRANSP~1.PDF; lu, y.;2019;" artiﬁcial intelligence: a survey on evolution, models, applications and future trends.
j"
TRANSP~1.PDF; kulkarni, s., seneviratne, n., baig, m.s., khan, a.h.h.;2020;" artiﬁcial intelligence in medicine:
where are we now? acad"
TRANSP~1.PDF; rajaraman, s., et al.;2018;" pre-trained convolutional neural networks as feature extractors toward
improved malaria parasite detection in thin blood smear images"
TRANSP~1.PDF; rajaraman, s., jaeger, s., antani, s.k.;2019;" performance evaluation of deep neural ensembles
toward malaria parasite detection in thin-blood smear images"
TRANSP~1.PDF; teso, s., kersting, k.;2019; explanatory interactive machine learning
TRANSP~1.PDF; schwartz-ziv, r., tishby, n.;2017;" opening the blackbox of deep neural networks via
information (2017)"
TRANSP~1.PDF;" accessed 09 feb 2020
10. zednik, c.";2020;" solving the black box problem: a normative framework for explainable artiﬁcial
intelligence"
TRANSP~1.PDF; gunning, d., aha, d.w.;2019; darpa’s explainable artiﬁcial intelligence (xai) program
TRANSP~1.PDF; darpa;2017; explainable artiﬁcial intelligence (xai), darpa program update 2017, pp
TRANSP~1.PDF; corritore, c.l., kracher, b., wiedenbeck, s.;2003;" online trust: concepts, evolving themes, a
model"
TRANSP~1.PDF; söllner, m., hoffmann, a., hoffmann, h., wacker, a., leimeister, j.m.;2012;" understanding the
formation of trust in it artifacts"
TRANSP~1.PDF; jayaraman, p.p., et al.;2019; healthcare 4.0: a review of frontiers in digital health
TRANSP~1.PDF; gilbert, f.j., smye, s.w., schönlieb, c.-b.;2020;" artiﬁcial intelligence in clinical imaging: a
health system approach"
TRANSP~1.PDF; meske, c., amojo, i.;2018;" social bots as initiators for human interaction in enterprise social
networks"
TRANSP~1.PDF; kemppainen, l., pikkarainen, m., hurmelinna-laukkanen, p., reponen, j.;2019;" connected
health innovation: data access challenges in the interface of ai companies and hospitals.
technol"
TRANSP~1.PDF; poncette, a.-s., meske, c., mosch, l., balzer, f.;2019;" how to overcome barriers for the
implementation of new information technologies in intensive care medicine"
TRANSP~1.PDF; stieglitz, s., meske, c., ross, b., mirbabaie, m.;2018; going back in time to predict the future the complex role of the data collection period in social media analytics
TRANSP~1.PDF; walsh, s., et al.;2019; decision support systems in oncology
TRANSP~1.PDF; ferroni, p., et al.;2019; breast cancer prognosis using a machine learning approach
TRANSP~1.PDF; song, d.-y., kim, s.y., bong, g., kim, j.m., yoo, h.j.;2019;" the use of artiﬁcial intelligence in
screening and diagnosis of autism spectrum disorder: a literature review"
TRANSP~1.PDF; woldaregay, a.z., et al.;2019;" data-driven modeling and prediction of blood glucose dynamics:
machine learning applications in type 1 diabetes"
TRANSP~1.PDF; gi-martin, m., montero, j.m., san-segundo, r.;2019;" parkinson’s disease detection from drawing
movements using convolutional neural networks"
TRANSP~1.PDF; spathis, d., vlamos, p.;2019;" diagnosing asthma and chronic obstructive pulmonary disease with
machine learning"
TRANSP~1.PDF; eggerth, a., hayn, d., schreier, g.;2019;" medication management needs information and
communications technology-based approaches, including telehealth and artiﬁcial intelligence"
TRANSP~1.PDF; khanna, s.;2010; artiﬁcial intelligence: contemporary applications and future compass
TRANSP~1.PDF; esteva, a., et al.;2019; a guide to deep learning in healthcare
TRANSP~1.PDF; lewis, s.j., gandomkar, z., brennan, p.c.;2019;" artiﬁcial intelligence in medical imaging
practice: looking to the future"
TRANSP~1.PDF; jiang, f., et al.;2017; artiﬁcial intelligence in healthcare: past, present and future
TRANSP~1.PDF; son, j., shin, j.y., kim, h.d., jung, k.-h., park, k.h., park, s.j.;2019;" development and
validation of deep learning models for screening multiple abnormal ﬁndings in retinal fundus
images"
TRANSP~1.PDF; chen, m., zhou, p., wu, d., hu, l., hassan, m.m., alamri, a.;2020;" ai-skin: skin disease
recognition based on self-learning and wide data collection through a closed-loop
framework"
TRANSP~1.PDF; valliani, a.a., ranti, d., oermann, e.k.;2019;" deep learning in neurology: a systematic review.
neurol"
TRANSP~1.PDF; rosenblatt, f.;1958;" the perceptron: a probabilistic model for information storage and
organization in the brain"
TRANSP~1.PDF; goodfellow, i., bengio, y., courville, a.;2016; deep learning
TRANSP~1.PDF; jang, d.-h., et al.;2020;" developing neural network models for early detection of cardiac arrest in
emergency department"
TRANSP~1.PDF; kim, m., et al.;2019; deep learning medical imaging
TRANSP~1.PDF; saba, l., et al.;2019; the present and future of deep learning in radiology
TRANSP~1.PDF; adadi, a., berrada, m.;2018;" peeking inside the black-box: a survey on explainable artiﬁcial
intelligence (xai)"
TRANSP~1.PDF; gunning, d., steﬁk, m., choi, j., miller, t., stumpf, s., yang, g.-z.;2019;" xai – explainable
artiﬁcial intelligence"
TRANSP~1.PDF; dosilovic, f.k., brcic, m., hlupic, n.;2018; explainable artiﬁcial intelligence: a survey
TRANSP~1.PDF; kühl, n., lobana, j., meske, c.;2019;" do you comply with ai? personalized explanations of
learning algorithms and their impact on employees compliance behavior"
TRANSP~1.PDF; guidotti, r., monreale, a., ruggieri, s., turini, f., giannotti, f., pedreschi, d.;2018;" a survey of
methods for explaining black box models"
TRANSP~1.PDF; ras, g., van gerven, m., haselager, p.;2018;" explanation methods in deep learning: users, values,
concerns and challenges 1–15 (2018)"
TRANSP~1.PDF; meske, c.;2019;" digital workplace transformation – on the role of self-determination in the
context of transforming work environments"
TRANSP~1.PDF; yan, z., kantola, r., zhang, p.;2011; a research model for human-computer trust interaction
TRANSP~1.PDF; mühl, k., strauch, c., grabmaier, c., reithinger, s., huckauf, a., baumann, m.;2019;" get ready
for being chauffeured: passenger’s preferences and trust while being driven by human
automation"
TRANSP~1.PDF; qasim, a.f., meziane, f., aspin, r.;2018;" digital watermarking: applicability for developing trust
in medical imaging workflows state of the art review"
TRANSP~1.PDF; gulati, s., sousa, s., lamas, d.;2019;" design, development and evaluation of a human-computer
trust scale"
TRANSP~1.PDF; mcknight, d.h., carter, m., thatcher, j.b., clay, p.f.;2011;" trust in speciﬁc technology: an
investigation of its components and measures"
TRANSP~1.PDF; mayer, r.c., davis, j.h., schoorman, f.d.;1995;" an integrative model of organizational trust.
acad"
TRANSP~1.PDF; muir, b.m., moray, n.;1996; trust in automation
TRANSP~1.PDF; ribeiro, m.t., singh, s., guestrin, c.;2016;" “why should i trust you?” explaining the predictions
of any classiﬁer"
TRANSP~1.PDF; de sousa, i.p., et al.;2019;" local interpretable model-agnostic explanations for classiﬁcation of
lymph node metastases"
TRANSP~1.PDF; weitz, k., hassan, t., schmid, u., garbas, j.-u.;2019;" deep-learned faces of pain and emotions:
elucidating the differences of facial expressions with the help of explainable ai methods.
tm-tech"
TRANSP~1.PDF; kaggle malaria cell images dataset. https;2020;//www.kaggle.com/iarunava/cell-images-fordetecting-malaria
TRANSP~1.PDF; national library of medicine – malaria datasets. https;2020;"//lhncbc.nlm.nih.gov/publication/
pub9932"
IMPROV~1.PDF; goldwasser, s., micali, s., rackoﬀ, c.;1989;" the knowledge complexity of interactive
proof-systems"
IMPROV~1.PDF; dwork, c., naor, m., sahai, a.;1998; concurrent zero-knowledge
IMPROV~1.PDF; canetti, r., goldreich, o., goldwasser, s., micali, s.;2000;" resettable zero-knowledge.
in: proceedings of the 32nd acm symposium on theory of computing "
IMPROV~1.PDF; richardson, r., kilian, j.;1999;" on the concurrent composition of zero-knowledge
proofs"
IMPROV~1.PDF; kilian, j., petrank, e.;2001; concurrent and resettable zero-knowledge in polylogarithmic rounds
IMPROV~1.PDF; kilian, j., petrank, e., rackoﬀ, c.;1998;" lower bounds for zero knowledge on the
internet"
IMPROV~1.PDF; canetti, r., kilian, j., petrank, e., rosen, a.;2001; black-box concurrent zeroknowledge requires ω(log n) rounds
IMPROV~1.PDF; dwork, c., sahai, a.;1998;" concurrent zero-knowledge: reducing the need for timing
constraints"
IMPROV~1.PDF; goldreich, o.;2002; concurrent zero-knowledge with timing, revisited
IMPROV~1.PDF; blum, m., de santis, a., micali, s., persiano, g.;1991;" non-interactive zero-knowledge.
siam j"
IMPROV~1.PDF; damgard, i.;2000;" eﬃcient concurrent zero-knowledge in the auxiliary string model.
in: advances in cryptology – eurocrypt ’00"
IMPROV~1.PDF; di crescenzo, g., removing complexity assumptions from concurrent zeroknowledge proofs, in;2000; proc
IMPROV~1.PDF; di crescenzo, g., ostrovsky, r., on concurrent zero-knowledge with preprocessing, in;1999; advances in cryptology – crypto ’99
IMPROV~1.PDF; micali, s., reyzin, l.;2001; soundness in the public-key model
IMPROV~1.PDF; di crescenzo, g., persiano, g., visconti, i.;2004;" constant-round resettable zero
knowledge with concurrent soundness in the bare public-key model"
IMPROV~1.PDF; reyzin, l.;2001; zero-knowledge with public keys, ph.d
IMPROV~1.PDF; micali, s., reyzin, l.;2001;" min-round resettable zero-knowledge in the public-key
model"
IMPROV~1.PDF; zhao, y., deng, x., lee, c., zhu, h.;2003;" resettablezero-knowledge in the weak
public-key model"
IMPROV~1.PDF; rompel, j.;1990; one-way functions are necessary and suﬃcient for digital signatures
IMPROV~1.PDF; pass, r.;2003;" simulation in quasi-polynomial time and its applications to protocol
composition"
IMPROV~1.PDF; dwork, c., naor, m.;2000; zaps and their applications
IMPROV~1.PDF; barak, b., goldreich, o., goldwasser, s., lindell, y.;2001; resettably-sound zeroznowledge and its applications
IMPROV~1.PDF; feige, u., lapidot, d., shamir, a.;1999;" multiple non-interactive zero knowledge
proofs under general assumptions"
IMPROV~1.PDF; de santis, a., persiano, g.;1992; zero-knowledge proofs of knowledge without interaction
IMPROV~1.PDF; lapidot, d., shamir, a.;1991;" publicly veriﬁable non-interactive zero-knowledge
proofs"
IMPROV~1.PDF; katz, j., ostrovsky, r.;2004; round-optimal secure two-party computation
TECHNO~1.PDF;" groom, m. j., kochhar, p., hamilton, a., liddle, e. b., simeou, m., & hollis, c. (2017).
atypical processing of gaze cues and faces explains comorbidity between autism spectrum
disorder (asd) and attention deficit/hyperactivity disorder (adhd). journal of autism and
developmental disorders, 47(5), 1496-1509. https";2017;"//doi.org/10.1007/s10803-017-3078-4
"
TECHNO~1.PDF;" american psychiatric association. (2013) diagnostic and statistical manual of mental
disorders, fifth edition (dsm-5), washington, dc";2013;" american psychiatric association.
https://doi.org/10.11
76/appi.books.9780890423349
"
TECHNO~1.PDF; vora p., sikora d. (2011). society for developmental and behavioral. san antonio, tx;2011;"
pediatrics.
"
TECHNO~1.PDF;" sivaratnam, c. s., newman, l. k., tonge, b. j., & rinehart, n. j. (2015). attachment and
emotion processing in children with autism spectrum disorders";2015;" neurobiological,
neuroendocrine, and neurocognitive considerations"
TECHNO~1.PDF;" davis, n. o., & kollins, s. h. (2012). treatment for co-occurring attention
deficit/hyperactivity disorder and autism spectrum disorder. neurotherapeutics, 9(3), 518530.https";2012;"//doi.org/10.1007/s13311-012-0126-9
"
TECHNO~1.PDF;" buitelaar, j. k., van der wees, m., swaab–barneveld, h. a. n. n. a., & van der gaag, r.
j. (1999). theory of mind and emotion-recognition functioning in autistic spectrum

ijoe ‒ vol. 16, no. 3, 2020

83



paper—technological development process of emotional intelligence as a therapeutic recovery...

disorders and in psychiatric control and normal children. development and
psychopathology, 11(1),39-58. https";1999;"//doi.org/10.1017/s0954579499001947
"
TECHNO~1.PDF;" petrides, k. v., hudry, c., michalaria, g., swami, v., & sevdalis, n. (2011). comparison
of the trait emotional intelligence profiles of individuals with and without asperger
syndrome. autism, 15, 671–682. https";2011;"//doi.org/10.1177/1362361310397217.
"
TECHNO~1.PDF;" kaypaklı, g. y., & tamam, l. (2019). emotional intelligence in attention deficit
hyperactivity disorder. current approaches in psychiatry/psikiyatride guncel
yaklasimlar, 11(1).https";2019;"//dergipark.org.tr/tr/download/article-file/612291.
https://doi.org/10.5455/cap.20130726020101
"
TECHNO~1.PDF; wilkinson, l., a., (2013).emotional intelligence (ei) and asd. living autism. http;2013;"
//livingautism.com
"
TECHNO~1.PDF; mayer, j. d., & salovey, p. (1993). the intelligence of emotional intelligence.;1993; mayer, j
TECHNO~1.PDF; gardner, h. (1983). frames of mind. new york;1983;" basic books.
"
TECHNO~1.PDF; goleman, d. (2006). emotional intelligence. bantam.;2006; goleman, d
TECHNO~1.PDF;" yazdi, s. a. a., farahi, s. m. m., farahi, s. m. m. m., & hosseini, j. (2018). emotional
intelligence and its role in cognitive flexibility of children with and without attention
deficit hyperactivity disorder. anales de psicología/annals of psychology, 34(2), 299304.http";2018;"//scielo.isciii.es/pdf/ap/v34n2/0212-9728-ap-34-02-298.pdf.
https://doi.org/10.6018/analesps.34.2.283771
"
TECHNO~1.PDF;" waddington, f., hartman, c., de bruijn, y., lappenschaar, m., oerlemans, a., buitelaar,
j., & rommelse, n. (2018). an emotion recognition subtyping approach to studying the
heterogeneity and comorbidity of autism spectrum disorders and attentiondeficit/hyperactivity disorder. journal of neurodevelopmental disorders, 10(1), 31.
https";2018;"//doi.org/10.1186/s11689-018-9249-6
"
TECHNO~1.PDF;" vélez, p., & ferreiro, a. (2014). social robotic in therapies to improve children's
attentional capacities. review of the air force academy, (2), 101.";2014; vélez, p., & ferreiro, a
TECHNO~1.PDF;" cho, s. j., & ahn, d. h. (2016). socially assistive robotics in autism spectrum
disorder. hanyang
medical
reviews, 36(1),
17-26.
https";2016;"//doi.org/10.75
99/hmr."
TECHNO~1.PDF;" fridin, m., & yaakobi, y. (2011). educational robot for children with adhd/add,
architecture design.";2011; fridin, m., & yaakobi, y
TECHNO~1.PDF;" miller, b., 2018. how kaspar the robot is helping autistic students to socialize.
abc.net.https";2018;//www.abc.net.au/news/
TECHNO~1.PDF;" robins, b., dautenhahn, k., & nadel, j. (2018). kaspar, the social robot and ways it may
help children with autism–an overview. enfance, (1), 91-102. https";2018;"//doi.org/10.3
917/enf2.181.0091
"
TECHNO~1.PDF;" yousif, j. h., kazem, h. a., chaichan, m.t., (2019) evaluation implementation of
humanoid robot for autistic children";2019; a review
TECHNO~1.PDF;" tucker, e., (2015). how robots are helping children with autism. the guardian,
international edition. https";2015;//www.theguardian.com/lifeandstyle/
TECHNO~1.PDF; mills, b., (2017). meeting milo;2017;" robot uses spectrum of facial expressions to engage with
autistic
students
at
kingsbury
elementary.
the
sumter
item.
https://www.theitem.com/stories/meeting-milo-robot-uses-spectrum-of-facial-expressionsto-engage-with-autistic-students-at,300398?platform=hootsuite.
"
TECHNO~1.PDF; malewar amit. (2019). meet pepper;2019; the friendly humanoid robot
TECHNO~1.PDF; whale alice., (2016). updated;2016;" bristolrobotics firm inspires local school children with
humanoid robot"
TECHNO~1.PDF; http;;
TECHNO~1.PDF; https;;
TECHNO~1.PDF; https;;
TECHNO~1.PDF; http;;
TECHNO~1.PDF; https;;
TECHNO~1.PDF; https;;//en.wikipedia.org/wiki/nao_
TECHNO~1.PDF; https;2016;"//www.techspark.co/blog/2016/11/22/bristol-robotics-firm-inspires-local-schoolchildren-humanoid-robot

7

authors

l"
NORMS-~1.PDF; c. castelfranchi, f. dignum, c. jonker, and j. treur, “deliberative normative agents;1999;"
principles and architectures”, proc"
NORMS-~1.PDF;" m. dastani, v. dignum and f. dignum, “organizations and normative agents”,
proceedings of first eurasian conference on advances in information and
communication technology, teheran iran, 2002, pp. 982-989";2002; m
NORMS-~1.PDF;" f. dignum, “abstract norms and electronic institutions”, proceedings of the int.
workshop on regulated agent-based social systems";2002;" theories and applications
rasta´02, bologna italy, "
NORMS-~1.PDF;" v. dignum, a model for organizational interaction based on agents, founded in logic,
phd thesis at utrecht university 2004. siks dissertation series no 2004-1



364

i.k. ibrahim, r. kronsteiner, and g. kotsis
";2004; v
NORMS-~1.PDF;" m. esteva, j. padget and c. sierra, “formalizing a language for institutions and norms”,
j.j.ch. meyer, and m. tambe, (eds.) intelligent agents viii, vol. 2333 lnai, springer
2001";2001; m
NORMS-~1.PDF;" i.k. ibrahim, e. weippl, f. dignum, and w. schwinger, “modelling norms in electronic
institutions” proc. of the workshop on agent-based simulation, passau, germany 2002.";2002; i.k
NORMS-~1.PDF;" i.k. ibrahim, g. kotsis and w. schwinger, “mapping abstraction of norms in electronic
institutions”, proceedings of the 12th ieee international workshop on enabling
technologies";2003; infrastructure for collaborative enterprises wetice´03, linz, 
NORMS-~1.PDF;" i.k. ibrahim, g. kotsis and r. kronsteiner, „substitution rules of norm-compliance in
electronic institutions“, proc. of international workshop on enabling technologies";2004;"
infrastrucutre for collaborative enterpricses,modena june "
NORMS-~1.PDF; i.k. ibrahim, r. kronsteiner and g. kotsis, “agent-based mobile auctions;2004;" the flea
market scenario”, proc"
NORMS-~1.PDF;" f. lópez y lópez, m. luck, m. and m. d'inverno, “constraining autonomy through
norms” proc. of the 1st joint conference on autonomous agents & multiagent systems,
aamas 2002 acm, 2002, pp. 674-681";2002; f
NORMS-~1.PDF;" j. ma, l.t. yang, b.o. apduhan, r. huang, l. barolli and m. takizawa, “towards a
smart world and ubiquitous intelligence";2005;" a walktrough from smart things to smart
hyperspaces und ubickids”, journal of pervasive computing and communications 1"
NORMS-~1.PDF;" j. vázquez-salceda and f. dignum,. „modelling electronic organizations“, v. marik, j.
mueller and m. pechoucek, (eds.), proceedings of central and east european conference
in multi-agent systems ceemas´03, springer, prague, 2003

";2003; j
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; bertino, e., ferrari, e., squicciarini, a.c.;2004;" trust negotiations: concepts, systems,
and languages"
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; bertino, e., ferrari, e., squicciarini, a.c.;2004;" trust-x: a peer-to-peer framework
for trust establishment"
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; bui, h., venkatesh, s., kieronska, d.;1995;" an architecture for negotiating agents that
learn "
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; chess, d.m., palmer, c., white, s.r.;2003; security in an autonomic computing environment
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; andrieux, a., et al.;2007; web services agreement negotiation speciﬁcation (wsagreementnegotiation)
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; frikken, k.b., li, j., atallah, m.j.;2006;" trust negotiation with hidden credentials,
hidden policies, and policy cycles"
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; ganek, a.g., corbi, t.a.;2003; the dawning of the autonomic computing era
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; li, n., winsborough, w.;2002; towards practical automated trust negotiation
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; lopes, f., mamede, n., novais, a.q., coelho, h.;2002;" a negotiation model for autonomous computational agents: formal description and empirical evaluation
"
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; nejdl, w., olmedilla, d., winslett, m.;2003;" peertrust: automated trust negotiation for
peers on the semantic web "
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; olson, l., winslett, m., tonti, g., seeley, n., uszok, a., bradshaw, j.;2006; trust negotiation as an authorization service for web services
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; smith, b., seamons, k.e., jones, m.d.;2004;" responding to policies at runtime in
trustbuilder"
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; winsborough, w., seamons, k., jones, v.;2000; automated trust negotiation
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; winsborough, w.h., li, n.;2002;" protecting sensitive attributes in automated trust
negotiation"
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; yamaki, h., fujii, m., nakatsuka, k., ishida, t.;2005; a dynamic programming approach to automated trust negotiation for multiagent systems
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; ye, s., makedon, f., ford, j.;2004; collaborative automated trust negotiation in peerto-peer systems
Automated-trust-negotiation-in-autonomic-environmentsLecture-Notes-in-Computer-Science-including-subseries-Lecture-Notes-in-Artificial-Intelligence-and-Lecture-Notes-in-Bioinformatics.pdf; yu, t., winslett, m., seamons, k.e.;2001;" interoperable strategies in automated trust
negotiation"
IDENTI~1.PDF; favia, a. d. theoretical and computational approaches to ligand-based drug discovery. front biosci (landmark ed) 16, 1276–1290 (2011).;2011; favia, a
IDENTI~1.PDF; lionta, e. et al. structure-based virtual screening for drug discovery;2014; principles, applications and recent advances
IDENTI~1.PDF; kim, r. & skolnick, j. assessment of programs for ligand binding affinity prediction. j comput chem 29, 1316–1331 (2008).;2008; kim, r
IDENTI~1.PDF; liu, c. et al. compound signature detection on lincs l1000 big data. mol biosyst 11, 714–722 (2015).;2015; liu, c
IDENTI~1.PDF;" hizukuri, y., sawada, r. & yamanishi, y. predicting target proteins for drug candidate compounds based on drug-induced gene
expression data in a chemical structure-independent manner. bmc med genomics 8, 82 (2015).";2015; hizukuri, y., sawada, r
IDENTI~1.PDF;" stegmaier, k. et al. gene expression-based high-throughput screening(ge-hts) and application to leukemia differentiation. nat.
genet. 36, 257–263 (2004).";2004; stegmaier, k
IDENTI~1.PDF; lee, b. k. et al. design;2017; connecting gene expression with therapeutics for drug repurposing and development
IDENTI~1.PDF;" taguchi, y. h., iwadate, m., umeyama, h. & murakami, y. principal component analysis based unsupervised feature extraction
applied to bioinformatics analysis. in computational methods with applications in bioinformatics analysis, chap. 8, 153–182 (world
scientific, 2017).";2017; taguchi, y
IDENTI~1.PDF;" taguchi, y. h. principal components analysis based unsupervised feature extraction applied to gene expression analysis of
blood from dengue haemorrhagic fever patients. sci rep 7, 44016 (2017).";2017; taguchi, y
IDENTI~1.PDF;" taguchi, y. h. microrna-mrna interaction identification in wilms tumor using principal component analysis based unsupervised
feature extraction. in 2016 ieee 16th international conference on bioinformatics and bioengineering (bibe), 71–78 (2016).";2016; taguchi, y
IDENTI~1.PDF;" taguchi, y.-h. principal component analysis based unsupervised feature extraction applied to publicly available gene expression
profiles provides new insights into the mechanisms of action of histone deacetylase inhibitors. neuroepigenetics 8, 1–18 (2016).";2016; taguchi, y.-h
IDENTI~1.PDF;" taguchi, y. h., iwadate, m. & umeyama, h. principal component analysis-based unsupervised feature extraction applied to in silico
drug discovery for posttraumatic stress disorder-mediated heart disease. bmc bioinformatics 16, 139 (2015).";2015; taguchi, y
IDENTI~1.PDF;" taguchi, y. h. & okamoto, a. principal component analysis for bacterial proteomic analysis. in shibuya, t., kashima, h., sese, j. &
ahmad, s. (eds) pattern recognition in bioinformatics, vol. 7632 of lncs, 141–152 (springer international publishing, heidelberg, 2012).";2012; taguchi, y
IDENTI~1.PDF;" ishida, s., umeyama, h., iwadate, m. & taguchi, y. h. bioinformatic screening of autoimmune disease genes and protein structure
prediction with fams for drug discovery. protein pept. lett. 21, 828–39 (2014).";2014; ishida, s., umeyama, h., iwadate, m
IDENTI~1.PDF;" kinoshita, r., iwadate, m., umeyama, h. & taguchi, y. h. genes associated with genotype-specific dna methylation in squamous
cell carcinoma as candidate drug targets. bmc syst biol 8(suppl 1), s4 (2014).";2014; kinoshita, r., iwadate, m., umeyama, h
IDENTI~1.PDF;" taguchi, y. h. & murakami, y. principal component analysis based feature extraction approach to identify circulating microrna
biomarkers. plos one 8, e66714 (2013).";2013; taguchi, y
IDENTI~1.PDF; taguchi, y. h. & murakami, y. universal disease biomarker;2014;" can a fixed set of blood micrornas diagnose multiple diseases? bmc
res notes 7, 581 "
IDENTI~1.PDF; murakami, y. et al. comprehensive mirna expression analysis in peripheral blood can diagnose liver disease. plos one 7, e48366 (2012).;2012; murakami, y
IDENTI~1.PDF;" murakami, y. et al. comparison of hepatocellular carcinoma mirna expression profiling as evaluated by next generation
sequencing and microarray. plos one 9, e106314 (2014).";2014; murakami, y
IDENTI~1.PDF;" murakami, y. et al. comprehensive analysis of transcriptome and metabolome analysis in intrahepatic cholangiocarcinoma and
hepatocellular carcinoma. sci rep 5, 16294 (2015).

scientific reports | 7";2015;" 13733 | doi:10.1038/s41598-017-13003-0

15



www.nature.com/scientificreports/
"
IDENTI~1.PDF;" umeyama, h., iwadate, m. & taguchi, y. h. tinagl1 and b3galnt1 are potential therapy target genes to suppress metastasis in
non-small cell lung cancer. bmc genomics 15(suppl 9), s2 (2014).";2014; umeyama, h., iwadate, m
IDENTI~1.PDF;" taguchi, y. h., iwadate, m. & umeyama, h. heuristic principal component analysis-based unsupervised feature extraction and its
application to gene expression analysis of amyotrophic lateral sclerosis data sets. in computational intelligence in bioinformatics and
computational biology (cibcb), 2015 ieee conference on, 1–10 (2015).";2015; taguchi, y
IDENTI~1.PDF;" taguchi, y. h., iwadate, m., umeyama, h., murakami, y. & okamoto, a. heuristic principal component analysis-aased unsupervised
feature extraction and its application to bioinformatics. in wang, b., li, r. & perrizo, w. (eds) big data analytics in bioinformatics
and healthcare, 138–162 (2015).";2015; taguchi, y
IDENTI~1.PDF;" taguchi, y. h. integrative analysis of gene expression and promoter methylation during reprogramming of a non-small-cell lung
cancer cell line using principal component analysis-based unsupervised feature extraction. in huang, d.-s., han, k. & gromiha, m.
(eds.) intelligent computing in bioinformatics, vol. 8590 of lncs, 445–455 (springer international publishing, heidelberg, 2014).";2014; taguchi, y
